ET	Runoff	Baseflow	CROP_SOIL_MOIST	EVAP_SOIL	date	cell
400.0559	10.4749	0.0334	85677.2828	109.7421	1/1/1984	476411993_CF
143.6594	1.9613	0.029	62447.2843	42.5259	1/1/1985	476411993_CF
185.8555	5.9848	0.0276	70912.5343	45.0664	1/1/1986	476411993_CF
223.6991	3.2595	0.0294	66585.247	70.506	1/1/1987	476411993_CF
156.7089	1.9676	0.0234	58559.0485	72.5341	1/1/1988	476411993_CF
165.8562	3.382	0.0278	59857.5029	82.0494	1/1/1989	476411993_CF
187.7576	4.7995	0.0274	65953.6879	102.556	1/1/1990	476411993_CF
237.6469	3.9833	0.0284	63170.0872	104.9635	1/1/1991	476411993_CF
178.0938	5.3148	0.028	66302.4926	102.9231	1/1/1992	476411993_CF
282.6317	4.9338	0.0302	70280.7544	120.2516	1/1/1993	476411993_CF
171.3806	3.3385	0.0243	60608.8304	88.6096	1/1/1994	476411993_CF
279.3833	8.6111	0.0311	73224.9572	86.2086	1/1/1995	476411993_CF
217.5094	5.0944	0.0302	67708.6659	68.3853	1/1/1996	476411993_CF
268.879	8.0946	0.0316	73024.5828	90.7125	1/1/1997	476411993_CF
350.17	7.731	0.0321	75119.5167	112.5131	1/1/1998	476411993_CF
183.12	2.7659	0.0264	59884.1695	48.9432	1/1/1999	476411993_CF
160.1759	2.6022	0.0275	59216.5318	57.4321	1/1/2000	476411993_CF
163.6388	2.809	0.0257	58537.5846	67.901	1/1/2001	476411993_CF
124.0863	2.0875	0.0259	58386.3419	48.5225	1/1/2002	476411993_CF
190.5356	4.7431	0.0299	68350.5798	56.7724	1/1/2003	476411993_CF
144.0134	3.4356	0.0266	61719.7404	67.3821	1/1/2004	476411993_CF
208.2989	5.1336	0.0289	65450.345	99.5809	1/1/2005	476411993_CF
310.917	8.704	0.0269	78021.5667	96.3853	1/1/2006	476411993_CF
177.8095	2.8153	0.0288	60206.1665	68.6823	1/1/2007	476411993_CF
113.4992	1.4232	0.0268	58424.1399	40.4827	1/1/2008	476411993_CF
152.8868	2.599	0.0281	59850.607	63.0217	1/1/2009	476411993_CF
226.4553	6.0789	0.0291	67804.0398	110.3463	1/1/2010	476411993_CF
382.9261	121.4795	191.8717	60122.5537	133.9973	1/1/1981	460211823_CC
335.5578	131.9823	246.0994	60046.1409	132.3702	1/1/1982	460211823_CC
350.4948	130.6502	233.9279	59018.5104	145.0203	1/1/1983	460211823_CC
382.6748	141.9084	243.4205	60708.8024	120.54	1/1/1984	460211823_CC
292.5752	66.3135	115.8823	58706.0137	116.7948	1/1/1985	460211823_CC
307.0029	108.8033	197.6922	56328.7501	120.444	1/1/1986	460211823_CC
331.2464	59.7322	95.4966	49109.475	143.7538	1/1/1987	460211823_CC
389.494	87.2611	25.3437	52540.958	131.5875	1/1/1988	460211823_CC
313.37	97.7322	163.8161	57803.2165	114.538	1/1/1989	460211823_CC
344.3183	93.1924	149.1241	57442.15	120.3403	1/1/1990	460211823_CC
430.0772	112.0699	136.2832	56372.7814	138.0086	1/1/1991	460211823_CC
288.6845	82.2319	153.3485	59775.3281	119.5714	1/1/1992	460211823_CC
407.3848	89.4428	93.3219	61043.8354	138.337	1/1/1993	460211823_CC
296.134	109.1465	183.0395	53864.4763	127.6603	1/1/1994	460211823_CC
348.4816	150.0465	270.7375	62958.5436	126.9786	1/1/1995	460211823_CC
413.5914	153.8685	234.4224	57937.7041	101.4559	1/1/1996	460211823_CC
321.1787	115.0646	244.2843	58408.324	124.7858	1/1/1997	460211823_CC
316.3236	95.2339	134.384	54725.8087	129.6543	1/1/1998	460211823_CC
264.1872	94.3635	177.0459	55151.1971	95.219	1/1/1999	460211823_CC
339.1605	103.5958	188.2843	59434.4014	125.5456	1/1/2000	460211823_CC
300.8806	78.4453	93.6888	55748.23	132.4137	1/1/2001	460211823_CC
305.3005	70.874	113.9352	50764.1835	138.4775	1/1/2002	460211823_CC
307.4167	121.4833	147.2216	56770.3662	88.4024	1/1/2003	460211823_CC
359.2542	92.3773	158.2516	58130.2613	122.4498	1/1/2004	460211823_CC
368.6766	61.0727	41.1971	49972.4985	131.7315	1/1/2005	460211823_CC
331.9666	132.5347	203.5296	58382.9975	107.1464	1/1/2006	460211823_CC
302.5321	78.7215	116.294	55043.612	119.3291	1/1/2007	460211823_CC
366.7	87.0791	105.5363	56877.7863	116.4689	1/1/2008	460211823_CC
291.1797	104.9327	210.2175	57525.1096	116.4276	1/1/2009	460211823_CC
387.9137	107.6269	137.3678	57162.0827	127.5194	1/1/2010	460211823_CC
373.0026	20.0712	0.2735	92638.772	86.5799	1/1/1981	460611981_CF
179.5772	21.8544	0	73070.0394	94.4405	1/1/1982	460611981_CF
313.2138	30.5171	0	87392.872	98.3362	1/1/1983	460611981_CF
263.686	22.0765	0	78241.8769	106.9824	1/1/1984	460611981_CF
150.6926	9.2008	0	72415.7169	57.5711	1/1/1985	460611981_CF
214.3163	19.082	0	76038.2766	72.8177	1/1/1986	460611981_CF
178.9734	12.1755	0	67603.6482	65.3408	1/1/1987	460611981_CF
192.0776	13.0798	0	68320.1271	112.0824	1/1/1988	460611981_CF
176.5103	12.5971	0	67739.7782	79.6022	1/1/1989	460611981_CF
151.9165	12.6904	0	68773.107	83.1604	1/1/1990	460611981_CF
176.9083	14.2474	0	67278.148	107.8411	1/1/1991	460611981_CF
199.3358	15.3367	0	70827.8253	94.2568	1/1/1992	460611981_CF
201.4762	12.028	0	69810.8266	88.8057	1/1/1993	460611981_CF
150.8132	15.5464	0	68064.248	92.4718	1/1/1994	460611981_CF
291.0957	28.4825	0	78251.1052	131.1846	1/1/1995	460611981_CF
251.4615	24.8496	0	73621.7362	99.3748	1/1/1996	460611981_CF
262.2376	22.4965	0	85051.081	78.7925	1/1/1997	460611981_CF
241.3361	18.0579	0	72569.3596	87.9567	1/1/1998	460611981_CF
140.3689	9.7134	0	66477.3124	46.3004	1/1/1999	460611981_CF
195.4311	13.9685	0	67887.2404	77.6064	1/1/2000	460611981_CF
137.2382	12.7646	0	68031.3827	82.7313	1/1/2001	460611981_CF
151.1096	13.1822	0	67780.2164	72.2024	1/1/2002	460611981_CF
209.3063	16.2055	0	73524.7399	69.8587	1/1/2003	460611981_CF
219.935	17.3985	0	72102.2905	91.1748	1/1/2004	460611981_CF
167.2994	15.8104	0	66504.9881	86.3809	1/1/2005	460611981_CF
273.4912	23.2665	0	77670.4099	117.5405	1/1/2006	460611981_CF
200.1705	14.4386	0	69955.3953	82.6129	1/1/2007	460611981_CF
162.1076	7.4544	0	66643.9215	66.7423	1/1/2008	460611981_CF
172.7419	13.8173	0	68599.7005	68.5051	1/1/2009	460611981_CF
210.958	27.0803	0	72920.1926	112.4456	1/1/2010	460611981_CF
379.1031	25.5218	28.4023	95877.8311	84.6499	1/1/1981	456411997_CF
201.4218	20.8838	2.8289	69670.3176	91.9307	1/1/1982	456411997_CF
336.0381	26.3312	0.0322	80569.1152	96.271	1/1/1983	456411997_CF
230.2004	18.1735	0.0233	66256.5833	105.4709	1/1/1984	456411997_CF
158.1489	8.759	0.0252	66937.264	59.415	1/1/1985	456411997_CF
236.1951	18.5127	0.0292	68974.5811	75.5755	1/1/1986	456411997_CF
163.422	10.7362	0.0249	61542.2979	56.4642	1/1/1987	456411997_CF
